pixel,1067A,1072A,1077A,1082A,1087A,1092A,1097A,1102A,1107A,1112A,1117A,1122A,1127A,1132A,1137A,1142A,1147A,1152A,1157A,1162A,1167A,1172A,1177A,1182A,1187A,1192A,1197A,1202A,1207A,1227A,1232A,1237A,1242A,1247A,1252A,1257A,1262A,1267A,1272A,1277A,1282A,1287A,1292A,1297A,1302A,1307A,1312A,1317A,1322A,1327A,1332A,1337A,1342A,1347A,1352A,1357A,1362A
10,5.975251859984807e-06,5.928678852000035e-06,5.862778555077169e-06,5.721670152263467e-06,5.7985607364373355e-06,5.750951705826596e-06,5.8581861133667365e-06,5.9014268951903586e-06,5.938893737536335e-06,6.017160006761905e-06,6.138981766711396e-06,6.3463533179841675e-06,6.476817078276606e-06,6.5469587305821625e-06,6.587895844469899e-06,6.595311636812634e-06,6.736228135029407e-06,6.754499615858025e-06,6.788986839640569e-06,6.675514761347592e-06,6.670851022597049e-06,6.637798539615542e-06,6.511006557191712e-06,6.7564048471513586e-06,6.644743471095796e-06,6.560147901715664e-06,6.4368664432759494e-06,6.3354283827381225e-06,6.417191674375807e-06,6.488984855106928e-06,6.700894178935009e-06,6.814734873764525e-06,6.917731958134787e-06,6.8474341030081396e-06,7.101933859009081e-06,6.925439900615552e-06,7.013158410491649e-06,7.036306799589035e-06,7.223618632052721e-06,7.2423104331700335e-06,7.221548620083868e-06,7.381214422487085e-06,7.359416572457323e-06,7.082018634787233e-06,7.224314290951201e-06,7.308187480552368e-06,7.162714733384385e-06,7.062805740532614e-06,7.04420562157734e-06,7.071388971658126e-06,7.2942565156082905e-06,7.0719650103857085e-06,7.268984324303046e-06,7.433238306301212e-06,7.500147388673805e-06,7.289802360609334e-06,7.530496835829123e-06
11,5.949395648411314e-06,5.923949462254643e-06,5.872706158285535e-06,5.788740677525337e-06,5.8290106977205495e-06,5.8396033003887615e-06,5.908107891250221e-06,5.955144707385166e-06,5.986544604400857e-06,6.08085758709693e-06,6.237911312632419e-06,6.449468634215881e-06,6.526000036842583e-06,6.575882410494111e-06,6.613578377524207e-06,6.640156604837962e-06,6.705225087041815e-06,6.719073769885908e-06,6.798359956024874e-06,6.6814575837481455e-06,6.6741594806227445e-06,6.6887994091148535e-06,6.5493134447892265e-06,6.770662822964131e-06,6.606162516807918e-06,6.508496304981685e-06,6.41100391558126e-06,6.312247971332155e-06,6.3801885268584175e-06,6.4236787042417125e-06,6.651692304366042e-06,6.7996358874120285e-06,6.933155391229152e-06,6.894843912837953e-06,7.127286161218329e-06,6.956455627840306e-06,7.062625427013806e-06,7.104759487259945e-06,7.361606075887188e-06,7.376962465348586e-06,7.341427032362108e-06,7.479025778132639e-06,7.489771890411196e-06,7.316246632023186e-06,7.365418149564183e-06,7.424825855272881e-06,7.340081971670095e-06,7.13957151398946e-06,7.1265639079199355e-06,7.1227435930262195e-06,7.297739422190563e-06,7.067082867841922e-06,7.271754046604735e-06,7.455683138056703e-06,7.478791304520511e-06,7.288384851297345e-06,7.5452883509841175e-06
12,5.925900411205429e-06,5.919810346590558e-06,5.899870957976635e-06,5.850850050068869e-06,5.888366943727306e-06,5.953606840134273e-06,5.966515374633803e-06,6.021768035143056e-06,6.051746144823804e-06,6.15113534403144e-06,6.346545403037916e-06,6.549751437829416e-06,6.549578283410618e-06,6.594235278940825e-06,6.606084076062483e-06,6.655616839162203e-06,6.643773235887363e-06,6.646716869033053e-06,6.7564974843553144e-06,6.654560409537772e-06,6.670101557454862e-06,6.747077856566169e-06,6.577947404568039e-06,6.7661794947021734e-06,6.565052112620225e-06,6.466581131229794e-06,6.405509051947478e-06,6.312164172588621e-06,6.359657461239012e-06,6.409935893560652e-06,6.645906151351042e-06,6.797141759841591e-06,6.961626641397057e-06,6.941088262125162e-06,7.1235911781871035e-06,7.0046773988907335e-06,7.098251728010556e-06,7.171557096421592e-06,7.505492779007872e-06,7.478040607702465e-06,7.424724343701877e-06,7.533549358451762e-06,7.603607750761883e-06,7.5359435370394954e-06,7.4726519661440685e-06,7.516770092724495e-06,7.531142139336665e-06,7.232613176078775e-06,7.24071081637625e-06,7.223542165983827e-06,7.336895123626705e-06,7.101467687363876e-06,7.284155509993126e-06,7.456474391080504e-06,7.4075106121246415e-06,7.291741830679611e-06,7.522852372276543e-06
13,5.9097588119496225e-06,5.908101599368961e-06,5.948872791083449e-06,5.898291309599355e-06,5.967130408101926e-06,6.0724318420538905e-06,6.041633588118321e-06,6.090958382939154e-06,6.138047290527373e-06,6.24468239313016e-06,6.446628622757524e-06,6.635938042863176e-06,6.547330869989503e-06,6.59156229965127e-06,6.5648471051919295e-06,6.627050589729817e-06,6.572503870197499e-06,6.5624203848687164e-06,6.687351887943941e-06,6.61225005546524e-06,6.6557619956006406e-06,6.795560801463926e-06,6.5900555132931375e-06,6.74252120377995e-06,6.546518979163639e-06,6.451433338561852e-06,6.408807555350621e-06,6.3240577718473925e-06,6.357563235767894e-06,6.450915056185076e-06,6.67539496266466e-06,6.8082398780546e-06,7.003488103638215e-06,6.971611898515858e-06,7.109201646141809e-06,7.053722383176458e-06,7.122897932408653e-06,7.238638803198516e-06,7.638161176300776e-06,7.563485249441807e-06,7.477419083923277e-06,7.5582394211725665e-06,7.694434134236514e-06,7.709367722591518e-06,7.553649928340069e-06,7.581845536854433e-06,7.703920052661293e-06,7.342905797831527e-06,7.365935161897191e-06,7.344279565320053e-06,7.396039628325644e-06,7.163011931733952e-06,7.312350033937691e-06,7.442463541600101e-06,7.31652731273766e-06,7.307097636383888e-06,7.472410097896177e-06
14,5.895383182336125e-06,5.890276012528863e-06,6.0045573191003225e-06,5.9392221541451776e-06,6.047224195222409e-06,6.180706454502109e-06,6.140131128645189e-06,6.1590097017330276e-06,6.2349931850716266e-06,6.361165049195158e-06,6.511525175527717e-06,6.692723771185414e-06,6.524164254289713e-06,6.5673395935826584e-06,6.5036772065934175e-06,6.5589945741471925e-06,6.500661276145567e-06,6.484389134199898e-06,6.6120599662766685e-06,6.582275077376907e-06,6.628049137458132e-06,6.812957047301893e-06,6.581518651384622e-06,6.707040957739922e-06,6.562571444233572e-06,6.468384374295172e-06,6.418876777412344e-06,6.349375967546248e-06,6.391749567519478e-06,6.533309113486384e-06,6.725638226507961e-06,6.836900831840298e-06,7.054768819829663e-06,6.994581482227409e-06,7.105465605309567e-06,7.091947475211542e-06,7.154796232652557e-06,7.306365784145439e-06,7.736279233927576e-06,7.636487699430577e-06,7.514153400586116e-06,7.568603810953247e-06,7.753295602090384e-06,7.817794419114845e-06,7.618456731337323e-06,7.625561217510733e-06,7.823908602145488e-06,7.464663584267958e-06,7.4828144663321e-06,7.4584262314255294e-06,7.4585771665642015e-06,7.248169085444449e-06,7.370743277587828e-06,7.428844518119458e-06,7.2460549679740995e-06,7.340341320906108e-06,7.420280500308161e-06
15,5.881924819673629e-06,5.8743648020716785e-06,6.0421192329504375e-06,5.9909403792448126e-06,6.121876415816163e-06,6.278592032076355e-06,6.250680712283298e-06,6.22676506157385e-06,6.322949501892423e-06,6.47486591868282e-06,6.534111932611112e-06,6.707590122825378e-06,6.49115831345281e-06,6.535555790207018e-06,6.4432913319523986e-06,6.466801560546405e-06,6.435975195046738e-06,6.418746677775016e-06,6.53887991204138e-06,6.5763179819710385e-06,6.591595857292892e-06,6.788868657499647e-06,6.554088548644468e-06,6.668000188077463e-06,6.600933176819735e-06,6.510939080234529e-06,6.4460909359236215e-06,6.402557139676226e-06,6.484215591156639e-06,6.646591071241954e-06,6.796088618565834e-06,6.8886815761305065e-06,7.109171880927127e-06,7.0313148355857754e-06,7.126763727216804e-06,7.119532294239715e-06,7.211675905438447e-06,7.3780858583332455e-06,7.789999982399358e-06,7.691815277312841e-06,7.537576026646443e-06,7.570720589226445e-06,7.7775371570422e-06,7.860379845983849e-06,7.670096298985417e-06,7.652715007588651e-06,7.88196320444578e-06,7.585784304492651e-06,7.582579430993544e-06,7.54931522769239e-06,7.520899181529338e-06,7.354322663480838e-06,7.4585760146071715e-06,7.436023897652465e-06,7.2249625047476165e-06,7.394845784481917e-06,7.395110507446454e-06
16,5.871723717374683e-06,5.8718612389282345e-06,6.0520052529173695e-06,6.0593653531057884e-06,6.194255630843967e-06,6.371398820002336e-06,6.346994431328959e-06,6.296555874242388e-06,6.387377017329987e-06,6.5550957862813385e-06,6.5364373707651905e-06,6.682128433596386e-06,6.4709620052787286e-06,6.5165439566236255e-06,6.39989569380958e-06,6.369214970921611e-06,6.383767642820324e-06,6.364264494922534e-06,6.470995990644666e-06,6.581577976741487e-06,6.561964120092133e-06,6.736999585760717e-06,6.519439378671382e-06,6.628620974450875e-06,6.639752216343625e-06,6.5763121541472294e-06,6.50933763481475e-06,6.496958503775326e-06,6.633966382824208e-06,6.788055792473163e-06,6.896107561495407e-06,6.967835976969373e-06,7.1618809873697355e-06,7.096557809375322e-06,7.16990449271033e-06,7.1456092431259525e-06,7.296740344672673e-06,7.462737722238716e-06,7.810295418752664e-06,7.728079361260201e-06,7.544496541625975e-06,7.566130792051189e-06,7.777398090024629e-06,7.85409417039828e-06,7.710160932781935e-06,7.662567407840421e-06,7.894202889914837e-06,7.696400093998634e-06,7.661116429963459e-06,7.608351292952457e-06,7.587255245372579e-06,7.474028657183565e-06,7.555766467698401e-06,7.481285913865419e-06,7.2507721469986405e-06,7.4688648742489015e-06,7.409949758248497e-06
17,5.867526239258364e-06,5.891196372232742e-06,6.04606617565113e-06,6.129863962613418e-06,6.2623171319968804e-06,6.448851635695252e-06,6.4051634840006024e-06,6.365191322019435e-06,6.425755813382697e-06,6.592116426379641e-06,6.549517920794643e-06,6.637208369825188e-06,6.481396208934636e-06,6.520581532520724e-06,6.3812960059680824e-06,6.289182863635127e-06,6.345456782547788e-06,6.325579018795414e-06,6.409322276006592e-06,6.577579126599387e-06,6.553657100263488e-06,6.687384126504195e-06,6.496515478863757e-06,6.598133513187813e-06,6.672078519462173e-06,6.663328846802454e-06,6.6191532883415085e-06,6.6326358810210054e-06,6.809634969913223e-06,6.952914499054892e-06,7.024109654381267e-06,7.071134352667488e-06,7.213130953543186e-06,7.187028416317442e-06,7.2127377513502446e-06,7.179736802554393e-06,7.402274998297736e-06,7.5614165825592894e-06,7.81458021866252e-06,7.745072353079257e-06,7.533193019747539e-06,7.5523182933871795e-06,7.76650843380464e-06,7.823876529364446e-06,7.734178121119548e-06,7.65724986711224e-06,7.88259737029234e-06,7.792266070217648e-06,7.718298341355064e-06,7.63785179739829e-06,7.659837547173274e-06,7.597100347458423e-06,7.641621784553414e-06,7.567408964187137e-06,7.3015508744651354e-06,7.556992439008215e-06,7.4644746117667755e-06
18,5.8765540972785125e-06,5.936275262480416e-06,6.0446211949439345e-06,6.178287589822211e-06,6.3133690294753445e-06,6.48945600908655e-06,6.420382944695802e-06,6.418888083273852e-06,6.449463647438871e-06,6.601051460435134e-06,6.585322472310053e-06,6.59329963585773e-06,6.521490548507995e-06,6.539502602208793e-06,6.38651189467439e-06,6.248482087932399e-06,6.322171137340647e-06,6.311881124318405e-06,6.355058714810311e-06,6.557610434907621e-06,6.567863037879848e-06,6.659278280128678e-06,6.4998309994694675e-06,6.593280139807028e-06,6.710968703359677e-06,6.764391927059857e-06,6.767858836277095e-06,6.797767817896119e-06,6.976859704692241e-06,7.128370352451358e-06,7.1626916850494e-06,7.190595194773842e-06,7.273954763022869e-06,7.288454469767468e-06,7.236758194688627e-06,7.2283632262222745e-06,7.51269196792735e-06,7.658677092082355e-06,7.811487720091666e-06,7.740185642646834e-06,7.503845876181459e-06,7.527283540227202e-06,7.754595714649255e-06,7.791312098249361e-06,7.731154212556967e-06,7.640424957307619e-06,7.870000502253747e-06,7.864459991791507e-06,7.754621713402518e-06,7.650589816249243e-06,7.730053666563796e-06,7.710555235014889e-06,7.704134067583594e-06,7.678923326552312e-06,7.361592339513355e-06,7.651357073838368e-06,7.553129297077563e-06
19,5.910266263707791e-06,6.0031388610547425e-06,6.0583610808920525e-06,6.1936555432048065e-06,6.330366792447043e-06,6.480986653154427e-06,6.410482411687124e-06,6.445488220875912e-06,6.4758852366155e-06,6.599000698704607e-06,6.629183211858009e-06,6.554711531141459e-06,6.573662249527833e-06,6.5589222387870185e-06,6.411165232200885e-06,6.2583164099630625e-06,6.3235736398519725e-06,6.332808196145427e-06,6.321066079623173e-06,6.538707011407497e-06,6.5965100883511354e-06,6.653497862292815e-06,6.531900314590944e-06,6.624067333669501e-06,6.7737553697441435e-06,6.875403746345848e-06,6.9339067707238875e-06,6.979675042850539e-06,7.124735309428786e-06,7.2987731353395755e-06,7.2932915223328565e-06,7.325397110803348e-06,7.357709134163172e-06,7.387382564398444e-06,7.249378300452033e-06,7.299154189523163e-06,7.611106838561142e-06,7.735313036122842e-06,7.804934807872962e-06,7.712174206525727e-06,7.463312357384962e-06,7.497923033338492e-06,7.752550123435857e-06,7.762147035021407e-06,7.696424866799134e-06,7.610771461143104e-06,7.874052276698654e-06,7.903269693264286e-06,7.768877866213591e-06,7.665038372724623e-06,7.781403125901649e-06,7.80690528217131e-06,7.744237794258514e-06,7.790224351229417e-06,7.426553060172963e-06,7.745031221461949e-06,7.671435022612903e-06
