pixel,1144A,1149A,1154A,1159A,1164A,1169A,1174A,1179A,1184A,1189A,1194A,1199A,1204A,1209A,1214A,1219A,1224A,1229A,1234A,1239A,1244A,1249A,1254A,1259A,1264A,1269A,1274A,1279A,1300A,1305A,1310A,1315A,1320A,1325A,1330A,1335A,1340A,1345A,1350A,1355A,1360A,1365A,1370A,1375A,1380A,1385A,1390A,1395A,1400A,1405A,1410A,1415A,1420A,1425A,1430A,1435A,1440A
10,5.7833290481562425e-06,5.950023774131673e-06,6.0208053829120074e-06,6.144887872241725e-06,6.0902426792933445e-06,5.971747665396313e-06,6.0137696437406575e-06,5.9114278282845594e-06,5.753476608847938e-06,5.94545154966897e-06,5.955338425930746e-06,5.9057061151750846e-06,5.773319685751394e-06,5.671614419773498e-06,5.710499915589125e-06,5.763656043489317e-06,5.733612223581926e-06,5.637699729975566e-06,5.796755394377263e-06,5.94657916523141e-06,6.07839701827478e-06,6.037952289848864e-06,6.102041788142921e-06,6.256612637631093e-06,6.548837043512475e-06,6.4986674541560955e-06,6.654446951171967e-06,6.558281925418356e-06,6.834644180436498e-06,6.768255931444257e-06,6.956050886728305e-06,6.944427760612082e-06,6.824910179069595e-06,6.876564365474049e-06,6.7002644039749745e-06,6.975258161420011e-06,6.971210939698386e-06,6.9606381156676985e-06,6.748581607415938e-06,6.5090973651365465e-06,6.927705706278006e-06,6.928635264876054e-06,6.610164943346673e-06,6.6293854386211575e-06,6.792598363945332e-06,6.682703473316945e-06,6.57723667227787e-06,6.538435031260397e-06,6.809117590692612e-06,6.472169577485922e-06,6.878261360933017e-06,6.9076612095996326e-06,7.0287886305287264e-06,7.037922494578966e-06,7.1587677129127125e-06,7.038726492504128e-06,7.218130705974243e-06
11,5.8424313185687204e-06,5.97752661323685e-06,6.031801976222807e-06,6.168678798759248e-06,6.137901884985628e-06,6.047231966337735e-06,6.065512381897541e-06,5.964852144054388e-06,5.790648541605013e-06,6.015124041764403e-06,5.984788552619187e-06,5.98955507289308e-06,5.8705040835791576e-06,5.74088475381086e-06,5.814992501775278e-06,5.84169513437325e-06,5.769522025071441e-06,5.703036213694772e-06,5.831137279827716e-06,5.940655878445117e-06,6.113087778307967e-06,6.089513431779136e-06,6.1632141445120045e-06,6.349105025784101e-06,6.667045015180443e-06,6.633632328646092e-06,6.830412003505018e-06,6.7259840900456925e-06,6.9539162002038435e-06,6.9831087978275585e-06,7.125233202073183e-06,7.0701449724405185e-06,6.93581855451557e-06,6.9776040709334765e-06,6.796989181419422e-06,7.064952216608736e-06,7.029802731807341e-06,6.977310400104365e-06,6.7714003606694336e-06,6.495397835867687e-06,6.894141691480873e-06,6.917426641787791e-06,6.653768707192847e-06,6.651396071499862e-06,6.805071573429928e-06,6.7322002697261475e-06,6.595155238576551e-06,6.612061834711703e-06,6.865355009674131e-06,6.556502497457507e-06,6.948759683030552e-06,7.00090477967367e-06,7.152708054069175e-06,7.113791810846991e-06,7.2997086840859174e-06,7.209949484776512e-06,7.371683958087096e-06
12,5.880317757035843e-06,5.989213049037925e-06,6.0260097037856024e-06,6.1543475269492736e-06,6.143348388038476e-06,6.090787801052561e-06,6.117909637956017e-06,6.043368297289041e-06,5.854036373401825e-06,6.106090801495984e-06,6.014108171966897e-06,6.076366097320502e-06,5.9831782268184246e-06,5.832667684788647e-06,5.947423338422739e-06,5.934229987347292e-06,5.861906279340321e-06,5.7974564444237544e-06,5.910033473693137e-06,5.9707899043030585e-06,6.157230355445793e-06,6.170201790580132e-06,6.248823327038453e-06,6.4319580558766024e-06,6.756523369203645e-06,6.7410436460804745e-06,6.95822295606383e-06,6.872198427777096e-06,7.055457837223888e-06,7.171484249795843e-06,7.289033640596367e-06,7.178704203151869e-06,7.023228208335263e-06,7.068604404354355e-06,6.908722416110819e-06,7.15279298829399e-06,7.062971828201061e-06,6.991422636698421e-06,6.805510027927054e-06,6.52336324510888e-06,6.883735624126053e-06,6.920195188360112e-06,6.739656261291606e-06,6.721394858842947e-06,6.846827304681743e-06,6.80767717904042e-06,6.641761629848581e-06,6.7183303396704975e-06,6.931591158046332e-06,6.655526837480768e-06,7.0182634433197675e-06,7.090267859235525e-06,7.276506771586743e-06,7.216017606765289e-06,7.444501392500894e-06,7.403635999671394e-06,7.547652227133664e-06
13,5.890855000639211e-06,5.986317140915924e-06,6.016726262424244e-06,6.1146951499559785e-06,6.115839378962522e-06,6.107768135561045e-06,6.1680874936934054e-06,6.143791830614376e-06,5.9408223240859595e-06,6.204078748888124e-06,6.057700633422537e-06,6.1575157293406975e-06,6.099960492979009e-06,5.940893015669277e-06,6.0915908155062585e-06,6.046565191965614e-06,6.012852278428407e-06,5.927824951116796e-06,6.034443635149521e-06,6.042902436223276e-06,6.2218639649930485e-06,6.265317337507372e-06,6.3575011135100754e-06,6.505798614931485e-06,6.817097548201194e-06,6.830267585557303e-06,7.034390845833007e-06,6.9914791937903945e-06,7.151200584875423e-06,7.310298784757651e-06,7.433847921344223e-06,7.279194667783563e-06,7.092989317111093e-06,7.1385758486072525e-06,7.0371417972994006e-06,7.244307150287883e-06,7.087868416977036e-06,7.010438192660734e-06,6.87560433652012e-06,6.606385273193609e-06,6.905605884339371e-06,6.946048596116098e-06,6.870974472416488e-06,6.833713281309347e-06,6.920107457723489e-06,6.9028630833192734e-06,6.7159913279338e-06,6.846361699587615e-06,7.005486780797787e-06,6.7618799459596045e-06,7.100832643992255e-06,7.181400435403027e-06,7.40910666899062e-06,7.356169394722989e-06,7.588778855883986e-06,7.613113357166831e-06,7.727496472700113e-06
14,5.8794188390162175e-06,5.968145295616302e-06,6.014779649961519e-06,6.0622270173501925e-06,6.082212217307362e-06,6.120461846396538e-06,6.217157600451901e-06,6.248456789618617e-06,6.027166146199918e-06,6.286980259165773e-06,6.1149929604808155e-06,6.2317206240528644e-06,6.21219458142143e-06,6.071402501190923e-06,6.247710072052593e-06,6.1828977603555294e-06,6.208874196530308e-06,6.098102332297394e-06,6.198166378113285e-06,6.153504407543967e-06,6.316068188489323e-06,6.3693391774735925e-06,6.486340913714455e-06,6.586953802901907e-06,6.862670447834053e-06,6.9090491175864835e-06,7.0739951986211505e-06,7.080802453817747e-06,7.240812656771837e-06,7.381551630057042e-06,7.537455953062932e-06,7.369572546678586e-06,7.149804231454947e-06,7.189760820918328e-06,7.168086548778043e-06,7.342619520713922e-06,7.127827342073706e-06,7.03981692213856e-06,6.988577197354428e-06,6.742062692901858e-06,6.959599935171449e-06,6.996063966786466e-06,7.0380404188984174e-06,6.971650440251976e-06,7.023911331902486e-06,7.014374240414746e-06,6.819293328821867e-06,6.9984886235164994e-06,7.096404613837267e-06,6.887779697240712e-06,7.216951330915836e-06,7.28741572318871e-06,7.561175406533708e-06,7.531731460997211e-06,7.739373374834834e-06,7.830049473548589e-06,7.902850094111418e-06
15,5.868128878897085e-06,5.943659668740224e-06,6.0278055070568536e-06,6.0159395732362194e-06,6.066758347186447e-06,6.147047114494704e-06,6.267050738778024e-06,6.336586699000367e-06,6.097582728253756e-06,6.343391348545475e-06,6.1841927851048775e-06,6.309063270684134e-06,6.327438685484354e-06,6.229000543638766e-06,6.421345581546141e-06,6.345482827660195e-06,6.428461586187933e-06,6.3006549290721214e-06,6.390865120114289e-06,6.298709043508023e-06,6.443403947058976e-06,6.4853902360633694e-06,6.627770218263761e-06,6.692121016260938e-06,6.9132561531774915e-06,6.9782013257584655e-06,7.0920714206608444e-06,7.144040907874593e-06,7.315475312434064e-06,7.389215937638465e-06,7.581332083807939e-06,7.4357206353723695e-06,7.19956778284802e-06,7.232471838220917e-06,7.28732390041736e-06,7.444658610053728e-06,7.19520930276373e-06,7.0896393840475766e-06,7.134382906752322e-06,6.918083573168776e-06,7.03924908973174e-06,7.066595034974623e-06,7.218905334876885e-06,7.118817558872267e-06,7.1550763983580565e-06,7.148501996918733e-06,6.956921788301236e-06,7.182572441093463e-06,7.2199971487719635e-06,7.053760487226828e-06,7.384752165031302e-06,7.426360622639229e-06,7.732781973795242e-06,7.729800679095728e-06,7.899089170753785e-06,8.057744461799526e-06,8.074425030683145e-06
16,5.882561295695808e-06,5.935690984815183e-06,6.051073506029096e-06,5.999724846711317e-06,6.0716806062548375e-06,6.191590244162204e-06,6.314815541951476e-06,6.401644455296561e-06,6.1644899653455275e-06,6.3795166891021525e-06,6.2669626760841875e-06,6.403967338848563e-06,6.4578821598170164e-06,6.405386281497613e-06,6.603088878239444e-06,6.538204776535476e-06,6.653568675385784e-06,6.523900539618166e-06,6.601781885541016e-06,6.4779928393385875e-06,6.596458300729888e-06,6.61524593201661e-06,6.7743729423550925e-06,6.82550594750309e-06,6.986610169485585e-06,7.041396855771704e-06,7.1009208261987775e-06,7.1914572686398225e-06,7.375451220628882e-06,7.36452837867485e-06,7.560713615637165e-06,7.462005042201863e-06,7.247140071961728e-06,7.2791564484931884e-06,7.393390245604153e-06,7.544339810675731e-06,7.289935428175518e-06,7.1664891787536105e-06,7.297802397718532e-06,7.112948364180054e-06,7.140926424224222e-06,7.159156096739316e-06,7.386036887875087e-06,7.269597119776106e-06,7.314219843075114e-06,7.318229876928139e-06,7.135336784974008e-06,7.395171077529842e-06,7.381791496614437e-06,7.271071562103142e-06,7.604151102892955e-06,7.605887466696469e-06,7.915155317701845e-06,7.935380032200275e-06,8.060561578084422e-06,8.296531889151919e-06,8.24460153945483e-06
17,5.937940239127453e-06,5.965042413683295e-06,6.076299675460756e-06,6.0254545479038686e-06,6.085980768966065e-06,6.250790114723778e-06,6.360849844624457e-06,6.458311337942258e-06,6.2515527607598395e-06,6.4176953125455395e-06,6.364139844929312e-06,6.523048989729132e-06,6.6000496555077435e-06,6.586384421354382e-06,6.774042533290942e-06,6.76104549113043e-06,6.8747113495820285e-06,6.760451942612797e-06,6.821977928489835e-06,6.684736480170207e-06,6.760421553250037e-06,6.755860014902715e-06,6.921206237442728e-06,6.973009277630717e-06,7.086190593414038e-06,7.102036148516112e-06,7.110638688394643e-06,7.232411038547501e-06,7.422401493032143e-06,7.3413069507382565e-06,7.488859173917722e-06,7.4506204815801925e-06,7.298295242903136e-06,7.345606048857443e-06,7.495280887704256e-06,7.635622326611331e-06,7.4069045211024156e-06,7.2714185463420926e-06,7.467155313271475e-06,7.305676500740563e-06,7.269562827104552e-06,7.2866526362561705e-06,7.531498538169063e-06,7.433011806850742e-06,7.507040488442319e-06,7.529089460384755e-06,7.357229110785193e-06,7.625017006275427e-06,7.573575432306392e-06,7.53223775550339e-06,7.856874501704884e-06,7.813625073400171e-06,8.101039823662117e-06,8.13497642486307e-06,8.216131549691845e-06,8.525905068536706e-06,8.41516111541874e-06
18,6.036757447737841e-06,6.0377392437816e-06,6.109647974143593e-06,6.0873825186876e-06,6.113423123646815e-06,6.3231170112016545e-06,6.417033070629572e-06,6.530526534626954e-06,6.3721826679657375e-06,6.485676034484305e-06,6.478689438173055e-06,6.6591500343217975e-06,6.740188075249134e-06,6.76520090766518e-06,6.9267238298001955e-06,6.999279836682036e-06,7.086349706226987e-06,7.001042387095578e-06,7.038339686275525e-06,6.8995648614699875e-06,6.922580095739273e-06,6.9061871299182145e-06,7.06721781488934e-06,7.1142233131258655e-06,7.195162004456008e-06,7.157456207710419e-06,7.122367753302375e-06,7.271177834189412e-06,7.448355017892143e-06,7.333914247922113e-06,7.392657973494807e-06,7.420495122891762e-06,7.360334191880803e-06,7.440121624751065e-06,7.593147790783452e-06,7.715084472620552e-06,7.534818196556151e-06,7.403717403003401e-06,7.636151082321137e-06,7.49403912334161e-06,7.429943941177053e-06,7.459463641007812e-06,7.678014737152232e-06,7.625132734937204e-06,7.735408415710058e-06,7.775996296049196e-06,7.618462356931847e-06,7.866732981785735e-06,7.790355210170226e-06,7.821942585323441e-06,8.122552208941376e-06,8.024997715470393e-06,8.286434620669557e-06,8.323581138135772e-06,8.361641467443347e-06,8.718160472735945e-06,8.590282583926754e-06
19,6.1648433383425775e-06,6.1464116565646365e-06,6.169269436661104e-06,6.17746625424343e-06,6.173750804814707e-06,6.4145076628875256e-06,6.495157352880066e-06,6.634973300529959e-06,6.525007135005561e-06,6.598040671533147e-06,6.614998227736451e-06,6.797967942316888e-06,6.870580269569511e-06,6.940855299602432e-06,7.065447604443361e-06,7.223326747441378e-06,7.28307486210872e-06,7.2259222094581255e-06,7.2357083167934955e-06,7.104477450416092e-06,7.077030287814711e-06,7.0729439633925184e-06,7.218786247176105e-06,7.240615889248393e-06,7.290710859876261e-06,7.210538065310591e-06,7.133140682464857e-06,7.3064812701000595e-06,7.450440320197162e-06,7.3372048782466305e-06,7.304948877574385e-06,7.392969675187162e-06,7.433678998854515e-06,7.550748928446571e-06,7.668763063835629e-06,7.784993027260976e-06,7.653626117233988e-06,7.552093254093815e-06,7.805488234530052e-06,7.69321108366153e-06,7.615967216998129e-06,7.673632781763131e-06,7.850677141934482e-06,7.850013073999644e-06,7.993978581186502e-06,8.048047456712959e-06,7.90526150900576e-06,8.115579645554158e-06,8.035205669019889e-06,8.126344414327582e-06,8.387648033248946e-06,8.226878908682467e-06,8.466440872506721e-06,8.507929005762688e-06,8.503422915875986e-06,8.867333093586227e-06,8.765040288460903e-06
20,6.300162558072983e-06,6.2844914932478165e-06,6.272058100410124e-06,6.297936211469743e-06,6.2825428620152045e-06,6.537513911780134e-06,6.595173292112077e-06,6.775338847573525e-06,6.6951333138745205e-06,6.744644166857108e-06,6.772429378549507e-06,6.9294752221034486e-06,6.988019411310328e-06,7.102134452040832e-06,7.1875815022400056e-06,7.405897296344928e-06,7.458491666977823e-06,7.413955904835356e-06,7.408415857803758e-06,7.2962367126306735e-06,7.225076910479377e-06,7.25857845039512e-06,7.38015384048967e-06,7.355240794722928e-06,7.362371285840198e-06,7.26989184135229e-06,7.149257148182051e-06,7.335250481360596e-06,7.4439951388433544e-06,7.338692112372352e-06,7.2482179488777055e-06,7.388812401755452e-06,7.512528052680354e-06,7.653601311525567e-06,7.708504360396974e-06,7.843442985328535e-06,7.74752737776499e-06,7.698706824468956e-06,7.977456734516759e-06,7.913459418326595e-06,7.815805272045935e-06,7.915622862179275e-06,8.053724790715363e-06,8.093039963552956e-06,8.269150576357018e-06,8.327592287085071e-06,8.199952742031704e-06,8.364432958009261e-06,8.30266241656924e-06,8.428536596733845e-06,8.641380507285647e-06,8.429656352546537e-06,8.644095028048212e-06,8.68940702589111e-06,8.650789285390977e-06,8.99286647070884e-06,8.922691253495676e-06
