pixel,1144A,1149A,1154A,1159A,1164A,1169A,1174A,1179A,1184A,1189A,1194A,1199A,1204A,1209A,1214A,1219A,1224A,1229A,1234A,1239A,1244A,1249A,1254A,1259A,1264A,1269A,1274A,1279A,1300A,1305A,1310A,1315A,1320A,1325A,1330A,1335A,1340A,1345A,1350A,1355A,1360A,1365A,1370A,1375A,1380A,1385A,1390A,1395A,1400A,1405A,1410A,1415A,1420A,1425A,1430A,1435A,1440A
0,4.7455870524984424e-06,4.809657949786976e-06,4.824030387170487e-06,4.899818015808431e-06,4.829857963565464e-06,5.018263635646775e-06,5.244362273962523e-06,5.470722211228338e-06,5.387494188948052e-06,5.45860176920579e-06,5.62078960250057e-06,5.695558573256404e-06,5.765386728380263e-06,5.9024204618299864e-06,5.816164982610964e-06,5.910829984130927e-06,6.100304159308647e-06,6.0748314246556614e-06,5.9958188564165226e-06,5.953421699374888e-06,5.7237741847047175e-06,5.7759887358935975e-06,5.6348229169431334e-06,5.714879104314268e-06,5.7582423472546085e-06,5.714663680717733e-06,5.6299982465265674e-06,5.5626553001667e-06,5.664573504417057e-06,5.784029742102773e-06,5.5835669547978106e-06,5.702077697869616e-06,5.952994082826727e-06,5.82931689910411e-06,5.921558260466043e-06,5.947977581442871e-06,6.156878063102173e-06,6.117101898655653e-06,6.066454109965253e-06,6.226258408630585e-06,6.333339177207454e-06,6.3817399136207825e-06,6.323722367834192e-06,6.412603774695361e-06,6.35913406547636e-06,6.440479711423892e-06,6.376180755476709e-06,6.378592018145984e-06,6.315025497079468e-06,6.297675035547815e-06,6.282280696857935e-06,6.304768358810967e-06,6.3297969511789395e-06,6.288575138669401e-06,6.197442781862006e-06,6.078953907437286e-06,6.1581113399888645e-06
1,4.78124941409655e-06,4.850488906890204e-06,4.930201617484988e-06,5.0066982840200814e-06,4.920118349464027e-06,5.095778422796925e-06,5.3024943592439565e-06,5.574111523528971e-06,5.4355085856989496e-06,5.4941319386548124e-06,5.657127941326004e-06,5.7053623308391225e-06,5.810590975716902e-06,5.90941884739912e-06,5.8374423237764706e-06,5.93746480007201e-06,6.1617439949850755e-06,6.128011902032827e-06,6.076216528860894e-06,6.0465533708465e-06,5.757825018773862e-06,5.836264829943762e-06,5.615689255385319e-06,5.701138752247789e-06,5.689723231149554e-06,5.653847436747603e-06,5.6022601127004995e-06,5.528675010691161e-06,5.73056131901756e-06,5.742546000853191e-06,5.5746283399361285e-06,5.764551411721021e-06,6.0164969699989824e-06,5.904078404580451e-06,5.979716850530526e-06,6.065583682233993e-06,6.202267722078579e-06,6.180517881269253e-06,6.1251473591669404e-06,6.310394530919336e-06,6.464649701547633e-06,6.512651260427671e-06,6.439285244327553e-06,6.484559365257681e-06,6.47583538845462e-06,6.605664027768877e-06,6.5279075124370274e-06,6.504012671498163e-06,6.4914014895082325e-06,6.4268997677884224e-06,6.4077806588740734e-06,6.4415298999669815e-06,6.384993433802867e-06,6.362558596163777e-06,6.291459104918307e-06,6.1619734688729415e-06,6.274977600538318e-06
2,4.8529696686395485e-06,4.921383815940793e-06,5.0454507673089265e-06,5.15328945950296e-06,5.0449542296442565e-06,5.200410775854724e-06,5.3593642656601006e-06,5.627948977647612e-06,5.4779758714527935e-06,5.523406529645503e-06,5.668182517817638e-06,5.6887821463949485e-06,5.8215563137277086e-06,5.900287875823429e-06,5.861599202591687e-06,5.935027847625494e-06,6.160220617213976e-06,6.1499497616571686e-06,6.097639674630833e-06,6.080317267372888e-06,5.8035669626530675e-06,5.879220966352874e-06,5.6292312250973185e-06,5.711092627381298e-06,5.702816039140049e-06,5.663742916954396e-06,5.607764324009779e-06,5.538973470279242e-06,5.79681901986061e-06,5.725808223154091e-06,5.6230098150916345e-06,5.8519242465015484e-06,6.0884435252550326e-06,6.0221526030605415e-06,6.047515178339999e-06,6.155999890572491e-06,6.2697351106822935e-06,6.242395587973258e-06,6.1713435738640076e-06,6.348753882148187e-06,6.556201974872416e-06,6.595729376219887e-06,6.5260777708002815e-06,6.5268973398607455e-06,6.567194684374565e-06,6.729992524757138e-06,6.637057456109688e-06,6.569231083263237e-06,6.612147492984308e-06,6.500401199570468e-06,6.463532963246871e-06,6.495019366942888e-06,6.422540003201541e-06,6.386604359227239e-06,6.360722525823785e-06,6.240980892789583e-06,6.387605363617172e-06
3,4.962972000198876e-06,5.042421537350406e-06,5.1745530344907295e-06,5.325073121157054e-06,5.194406937562796e-06,5.326896893423813e-06,5.4456899323076285e-06,5.663904511175398e-06,5.53201048331821e-06,5.564441404087293e-06,5.6737186090349465e-06,5.673817018416658e-06,5.802560572361021e-06,5.870208140512101e-06,5.8727244678870735e-06,5.9177475081776026e-06,6.1228936719295e-06,6.139577694973643e-06,6.070383873781348e-06,6.094517014441111e-06,5.849909984432882e-06,5.915262004183642e-06,5.6763806857116835e-06,5.747016264047088e-06,5.771013434208205e-06,5.714629957699562e-06,5.650522093905533e-06,5.586435024573543e-06,5.865686758841225e-06,5.735532584424968e-06,5.713158243039111e-06,5.964438537025268e-06,6.173597083218579e-06,6.165041390858803e-06,6.116317786838503e-06,6.2403654596351635e-06,6.357543866998456e-06,6.320874182478064e-06,6.218275720589809e-06,6.380343576393383e-06,6.6545250079903824e-06,6.670390215409981e-06,6.600240097601848e-06,6.570741182382902e-06,6.654952659416341e-06,6.8210026267858945e-06,6.728421373638726e-06,6.622494528695236e-06,6.704312159780795e-06,6.557805617962496e-06,6.5086954127638475e-06,6.5258680323932034e-06,6.478672079993237e-06,6.420252138198851e-06,6.439688826339544e-06,6.328653944921718e-06,6.503470706946718e-06
4,5.101111599088442e-06,5.210155818182846e-06,5.308824230223937e-06,5.489839633206186e-06,5.341923567688081e-06,5.446997864507251e-06,5.5475697421103275e-06,5.683708116662948e-06,5.592050265532213e-06,5.612685422998967e-06,5.6824289641210525e-06,5.657280328677961e-06,5.754662711333325e-06,5.812840916196941e-06,5.8547074802040495e-06,5.874302076702338e-06,6.053247387371189e-06,6.07119743516674e-06,6.003417235375263e-06,6.090434596635802e-06,5.883323726863549e-06,5.945163143346432e-06,5.7584270029527606e-06,5.808258942069608e-06,5.883533139085713e-06,5.799689286086124e-06,5.73788150795032e-06,5.6691262021964825e-06,5.939037360507024e-06,5.7869614536549696e-06,5.840799406503602e-06,6.081854874491382e-06,6.247863764686055e-06,6.297688529049254e-06,6.176941146911788e-06,6.3230319946132824e-06,6.453910891281288e-06,6.4119113686384825e-06,6.261183670308787e-06,6.4131978526125845e-06,6.748762665050413e-06,6.7294908927636045e-06,6.64152931907833e-06,6.6216380860898555e-06,6.725195507026473e-06,6.853035392474674e-06,6.779729185112147e-06,6.656244621214438e-06,6.744054292835507e-06,6.5842078189339756e-06,6.541991676853711e-06,6.542424725253912e-06,6.546417323408238e-06,6.4757572818601665e-06,6.516241365616699e-06,6.416198667462099e-06,6.602889493218956e-06
5,5.25377372980657e-06,5.398899626206656e-06,5.452190234678509e-06,5.6310826934201825e-06,5.481187689214037e-06,5.547887435454016e-06,5.649375378102591e-06,5.705167684883231e-06,5.649918453313203e-06,5.664320936107231e-06,5.703557751166036e-06,5.647632985055477e-06,5.701136826678362e-06,5.742667726460957e-06,5.80839820589761e-06,5.808429066956439e-06,5.967963010216134e-06,5.948486375705077e-06,5.931818243264713e-06,6.075550285065496e-06,5.904613429702565e-06,5.9753716221866185e-06,5.8573246211514724e-06,5.88127900124683e-06,6.002598012137702e-06,5.896540414910447e-06,5.851565100301792e-06,5.773273567195528e-06,6.036364698855882e-06,5.876711315707863e-06,5.997355865148032e-06,6.196760390433328e-06,6.307257953351148e-06,6.408750885633654e-06,6.240143686688634e-06,6.422089649919347e-06,6.5500414851520615e-06,6.52019178373076e-06,6.318681807861999e-06,6.458168616139452e-06,6.84079230386097e-06,6.786847451052152e-06,6.653898901010456e-06,6.674090610865292e-06,6.775258780304675e-06,6.829393810820767e-06,6.7854691470587685e-06,6.6565379617784085e-06,6.7474444879957585e-06,6.574714385399612e-06,6.569081466798212e-06,6.569561704397335e-06,6.617631344510325e-06,6.559632197671534e-06,6.593569856555194e-06,6.499264821840752e-06,6.692961045205398e-06
6,5.401698187383891e-06,5.574921217043534e-06,5.604035778241642e-06,5.7497510040463345e-06,5.618014323206798e-06,5.63305971559856e-06,5.7431911464462544e-06,5.7413554668091534e-06,5.691170252124837e-06,5.7184586140436675e-06,5.73733976330848e-06,5.663035146794833e-06,5.661166597168472e-06,5.681979386346764e-06,5.744429749984354e-06,5.7393733647861465e-06,5.884693213760779e-06,5.804774263635383e-06,5.876189806803595e-06,6.051163394677547e-06,5.923472855950695e-06,6.005459403945031e-06,5.947437280772122e-06,5.955507934531917e-06,6.104305629269436e-06,5.992715552928826e-06,5.973806895396614e-06,5.893473809075287e-06,6.172008170606996e-06,6.0002175044211335e-06,6.180216016637379e-06,6.3201047328650575e-06,6.368821514536932e-06,6.504380728994453e-06,6.314924234254161e-06,6.538552186113085e-06,6.6391311870212565e-06,6.642904204910367e-06,6.4066140553486435e-06,6.508893680380835e-06,6.920643471366638e-06,6.844356744125717e-06,6.646206560770266e-06,6.705986401463635e-06,6.8011508195588365e-06,6.770568331433855e-06,6.7487577326238856e-06,6.6192065915898966e-06,6.739554441790572e-06,6.528290106384825e-06,6.5994584946520795e-06,6.614034842832738e-06,6.683388079938557e-06,6.665461346462195e-06,6.6823709745138455e-06,6.577142381532835e-06,6.7896423887826426e-06
7,5.527520507084783e-06,5.718308945831127e-06,5.754221839319645e-06,5.861289630405813e-06,5.7564640922301325e-06,5.712112277471104e-06,5.827184597898825e-06,5.7893194284140995e-06,5.710439771380567e-06,5.7760246493406404e-06,5.7842249651852565e-06,5.7074596607895065e-06,5.644160801531885e-06,5.643754828819523e-06,5.68199169118059e-06,5.691318470007474e-06,5.8178542880834505e-06,5.68490289298049e-06,5.838805983064278e-06,6.024185317194008e-06,5.953078562164598e-06,6.02615845450302e-06,6.009755771219833e-06,6.026478608532836e-06,6.194819118193126e-06,6.091381806613833e-06,6.108068045566598e-06,6.034600040452316e-06,6.339848889480889e-06,6.1561565972202815e-06,6.382299763065414e-06,6.463163381859902e-06,6.450860622320052e-06,6.59393861321971e-06,6.4028152661581496e-06,6.66069596901127e-06,6.7214937420722395e-06,6.764187140210764e-06,6.516780644389353e-06,6.546312478386122e-06,6.9732592161216366e-06,6.893746037263394e-06,6.627912077502165e-06,6.70702979730512e-06,6.808517475896628e-06,6.709806995324035e-06,6.6876240748804865e-06,6.567690128598593e-06,6.7379591204533994e-06,6.46494597008217e-06,6.647522269149414e-06,6.670753795940633e-06,6.74573260885496e-06,6.779420108185825e-06,6.7877204739029256e-06,6.6609611826899925e-06,6.8951157811066785e-06
8,5.6275922636558565e-06,5.825209657003828e-06,5.883307203500055e-06,5.974028876183915e-06,5.8897011037064475e-06,5.792768696676722e-06,5.8993532449918925e-06,5.834911570499772e-06,5.7191206048063345e-06,5.8348490389436386e-06,5.844443896106356e-06,5.766624496353445e-06,5.6554600687017015e-06,5.627434034580316e-06,5.6445970790504995e-06,5.678512089710082e-06,5.76978161488671e-06,5.616498266180345e-06,5.8130263623610975e-06,5.998371682192313e-06,5.995944102764268e-06,6.028346145963461e-06,6.043061025193458e-06,6.094689970790866e-06,6.296352731059238e-06,6.206649821497824e-06,6.268244729403748e-06,6.199208878982019e-06,6.51892893084347e-06,6.341193499159176e-06,6.587032585273476e-06,6.625684327289707e-06,6.5605755190413676e-06,6.6838587783229345e-06,6.5023323322146775e-06,6.7761658272486646e-06,6.803788706691416e-06,6.862709508275227e-06,6.624918954573253e-06,6.554970613522819e-06,6.987447933749072e-06,6.9259778191415235e-06,6.6082994677632595e-06,6.682107531202451e-06,6.806180941779499e-06,6.670966725477487e-06,6.628030544442047e-06,6.525456051499358e-06,6.74700586733103e-06,6.4205873623851074e-06,6.717210960462495e-06,6.7366095531806385e-06,6.817769286934052e-06,6.882738077784848e-06,6.904637453595935e-06,6.76375891664285e-06,6.997287180544182e-06
9,5.710696880627066e-06,5.9010460138358e-06,5.974552769567076e-06,6.07597176064588e-06,6.0047430397997704e-06,5.88078342134972e-06,5.960336653395736e-06,5.872771240100047e-06,5.7315652720391275e-06,5.89028517276354e-06,5.907588933301366e-06,5.831843316219429e-06,5.6993001668465075e-06,5.6341505717812834e-06,5.651575746416762e-06,5.704987745752418e-06,5.7392352832216594e-06,5.6043287944812984e-06,5.796133424143697e-06,5.971314867002677e-06,6.040826889949284e-06,6.023103464971382e-06,6.065813866614198e-06,6.168978786444512e-06,6.418097045531845e-06,6.346882962268899e-06,6.456503678971498e-06,6.378436227666817e-06,6.688542122311102e-06,6.548634979583931e-06,6.7791451350310285e-06,6.7933887733826445e-06,6.692693320927391e-06,6.777542527780128e-06,6.604260432824773e-06,6.880208461813433e-06,6.890225943403133e-06,6.926948936813701e-06,6.705540718480443e-06,6.537324620847746e-06,6.966420424698593e-06,6.936522020514058e-06,6.5985818985753836e-06,6.647344690090092e-06,6.798277663740807e-06,6.661962310284993e-06,6.588809291260904e-06,6.510256075908474e-06,6.76930236763336e-06,6.422003783189931e-06,6.7991602035522865e-06,6.815871333111296e-06,6.912442365138739e-06,6.966972617017675e-06,7.027805785194008e-06,6.890114017831674e-06,7.098031994284146e-06
