pixel,1409A,1414A,1419A,1424A,1429A,1434A,1439A,1444A,1449A,1454A,1459A,1464A,1469A,1474A,1479A,1484A,1489A,1494A,1499A,1504A,1509A,1514A,1519A,1524A,1529A,1534A,1539A,1544A,1549A,1554A,1559A,1564A,1569A,1574A,1579A,1603A,1608A,1613A,1618A,1623A,1628A,1633A,1638A,1643A,1648A,1653A,1658A,1663A,1668A,1673A,1678A,1683A,1688A,1693A,1698A,1703A,1708A,1713A,1718A,1723A,1728A,1733A,1738A,1743A,1748A,1753A,1758A,1763A,1768A,1773A
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6.3879196162146935e-06,6.4226140576960025e-06,6.5322119457817965e-06,6.584191217434067e-06,6.5903501167003035e-06,6.540412889322519e-06,6.625455300445428e-06,6.609059144499273e-06,6.664476228363976e-06,6.649163747151019e-06,6.567681756068896e-06,6.3427745013773085e-06,6.2427090842061245e-06,6.325323939691066e-06,6.471424735356867e-06,6.329432388825481e-06,6.2936440253517305e-06,6.406449161920256e-06,6.424494475650173e-06,6.395181869260435e-06,6.642891698411038e-06,6.668502851522938e-06,6.561134915789752e-06,6.648471358601831e-06,6.6667117019671025e-06,6.7550150320367375e-06,6.741025542511057e-06,6.883533044003831e-06,6.900757615751556e-06,7.015999735578012e-06,7.184643455725496e-06,7.0892712124650205e-06,7.182414855208082e-06,7.06826005864279e-06,7.196844525085558e-06,7.512501846223105e-06,7.388024941124347e-06,7.506506176839269e-06,7.380273262069612e-06,7.602789255348648e-06,7.487539449203212e-06,7.254240027118082e-06,7.290694020114442e-06,7.393948917894198e-06,7.693175917109927e-06,7.465147168948261e-06,7.164470007672981e-06,7.4141789246334505e-06,7.485864478512004e-06,7.469972814963905e-06,7.304605853990179e-06,7.27775333435981e-06,7.277108728143079e-06,7.394548764323711e-06,7.382002840433715e-06,7.46798787981886e-06,7.141131319794919e-06,7.246638479956993e-06,7.156646462284227e-06,7.3706625479082355e-06,7.129486992669818e-06,6.993696969927762e-06,7.180047570224635e-06,6.8956986009852585e-06,7.4495004692122405e-06,7.0622198003642315e-06,7.174881890412164e-06,7.278460253697203e-06,7.22156764174263e-06,7.248465165558146e-06
2,6.468769565901212e-06,6.505565701952248e-06,6.641130259508289e-06,6.708847136522289e-06,6.722515173169994e-06,6.668648746795326e-06,6.729934805577352e-06,6.684630905484026e-06,6.7242831563053076e-06,6.710587748517846e-06,6.674130942932837e-06,6.464379005375897e-06,6.390572091790721e-06,6.436412766023204e-06,6.616221804791122e-06,6.487413938700517e-06,6.454230628513515e-06,6.522303721123226e-06,6.568987785511795e-06,6.502271047673183e-06,6.7174805055463485e-06,6.798756276073377e-06,6.637032041598719e-06,6.676233904115422e-06,6.68564664275734e-06,6.737640786422608e-06,6.7318908015194225e-06,6.916735071821362e-06,6.8585850716295e-06,7.0186217620430724e-06,7.259021280499103e-06,7.123592203371532e-06,7.192844573760407e-06,7.0861730873687925e-06,7.2168282696073184e-06,7.564694990947465e-06,7.463181028048116e-06,7.6235237874723665e-06,7.493332157890981e-06,7.698462902414647e-06,7.565658205942461e-06,7.4378368554444184e-06,7.4139353326210786e-06,7.5138904232828385e-06,7.907591956644287e-06,7.63455358232513e-06,7.393799854207585e-06,7.5843649073369646e-06,7.630726635108539e-06,7.592383696580612e-06,7.369447994864134e-06,7.4062859209871935e-06,7.404577200930979e-06,7.486342320081993e-06,7.424079312101607e-06,7.469882161881793e-06,7.173181062357808e-06,7.391803151272197e-06,7.348425691545172e-06,7.540344625290222e-06,7.308775763277637e-06,7.07957109597536e-06,7.392649821349214e-06,7.0726289318492436e-06,7.64905652227657e-06,7.261745875781305e-06,7.2959978916808605e-06,7.429120147029062e-06,7.299894696289222e-06,7.377340483495523e-06
3,6.517577192631244e-06,6.5458093966405685e-06,6.6933074720896414e-06,6.785546384866796e-06,6.822380643525852e-06,6.761535895217616e-06,6.798262850771208e-06,6.768983889906332e-06,6.794565677752477e-06,6.765878285399818e-06,6.7712046397339575e-06,6.571198023080966e-06,6.545710844330426e-06,6.5280495099603074e-06,6.724200775820956e-06,6.605308766574674e-06,6.611548682043965e-06,6.647509870784638e-06,6.692778370947739e-06,6.6154346497950675e-06,6.792149913547045e-06,6.890975476978308e-06,6.706068376428579e-06,6.714870822034922e-06,6.741957595040247e-06,6.7357403449624805e-06,6.7467017184605714e-06,6.948577893467693e-06,6.841008413320968e-06,7.022815264564043e-06,7.306193467297078e-06,7.15344726515967e-06,7.2093006505973295e-06,7.147991877326988e-06,7.2477654596508055e-06,7.596078582821916e-06,7.556144995580922e-06,7.71553915278577e-06,7.5845135280587645e-06,7.756039011633701e-06,7.656998301610791e-06,7.588674662423243e-06,7.509335830392137e-06,7.634183560470973e-06,8.04816912617778e-06,7.75064388492965e-06,7.586379223362708e-06,7.681864972589037e-06,7.749317774951293e-06,7.659913984158445e-06,7.455127959385244e-06,7.497412087581061e-06,7.513174919217198e-06,7.5667499493865085e-06,7.46489215779877e-06,7.497505534157431e-06,7.249792825152008e-06,7.523616075183417e-06,7.525686795771317e-06,7.705849575723645e-06,7.491430386785817e-06,7.17955930804593e-06,7.5603607284936266e-06,7.2564026080258724e-06,7.727373706189011e-06,7.4075093196330625e-06,7.38859633106862e-06,7.560315517892073e-06,7.397399713107876e-06,7.49519575412057e-06
4,6.547324259545688e-06,6.571360201887881e-06,6.709551084762558e-06,6.843750499971066e-06,6.911408937674484e-06,6.848107801516103e-06,6.875567042946243e-06,6.880279826375319e-06,6.8863482357861255e-06,6.8333435810700275e-06,6.8796742739840775e-06,6.684446919619882e-06,6.7215016156656124e-06,6.624518236861185e-06,6.819118184914845e-06,6.726973795819484e-06,6.783263355894292e-06,6.7969462129229225e-06,6.82600567245365e-06,6.769409932025211e-06,6.899283668314314e-06,6.97217756342752e-06,6.7991502752836275e-06,6.792106568067428e-06,6.841767358143952e-06,6.7657091255247575e-06,6.80241293067004e-06,7.015869077418003e-06,6.861687996504561e-06,7.03501664319752e-06,7.338495244868776e-06,7.1977126896487225e-06,7.252463591896401e-06,7.231930374610703e-06,7.3098207933037784e-06,7.651125704516507e-06,7.658125488314156e-06,7.788425248780487e-06,7.673009216634526e-06,7.806228464097771e-06,7.767444428818588e-06,7.726589056850559e-06,7.59762139995064e-06,7.765893577182269e-06,8.160370206710803e-06,7.839288806929695e-06,7.757997920347475e-06,7.749077996845204e-06,7.854367446777742e-06,7.709927776641686e-06,7.57441254138865e-06,7.600203920074509e-06,7.64399142755793e-06,7.672851486606181e-06,7.5690540419492035e-06,7.574993722803958e-06,7.387032208145417e-06,7.665725961148092e-06,7.695746250410113e-06,7.885365617473222e-06,7.681683763636929e-06,7.306677751429384e-06,7.709683039971287e-06,7.4655333024736784e-06,7.785383479765472e-06,7.538849833303296e-06,7.499776856868268e-06,7.712359890623459e-06,7.5395451847928576e-06,7.6224075796828125e-06
5,6.549052940089233e-06,6.5879444366951725e-06,6.693377120198961e-06,6.868967945553391e-06,6.975011280803221e-06,6.917538971148465e-06,6.960884163426113e-06,6.991381048145565e-06,6.979573824775189e-06,6.910806656692109e-06,6.994338477175499e-06,6.793936445195923e-06,6.891258900954485e-06,6.731037990910638e-06,6.9003282327558166e-06,6.863561744321657e-06,6.95560320781934e-06,6.9493165529559694e-06,6.9664152530928146e-06,6.96523417829129e-06,7.037955240927432e-06,7.0501939869290646e-06,6.922418937650975e-06,6.911803484887912e-06,6.971142002794106e-06,6.838751694599874e-06,6.892704621873517e-06,7.119372320060349e-06,6.9392740629725005e-06,7.065093205853052e-06,7.354727239337338e-06,7.246213153561618e-06,7.317176276052106e-06,7.321048566912472e-06,7.393828247296001e-06,7.728792369430173e-06,7.730744247225265e-06,7.832562599489936e-06,7.73979516435818e-06,7.841205336181892e-06,7.864426355928853e-06,7.826427946579562e-06,7.668830431090914e-06,7.886395129339662e-06,8.222852639479781e-06,7.891445114816922e-06,7.885180612927424e-06,7.79135495188545e-06,7.942868344782809e-06,7.755906596465822e-06,7.711221224955035e-06,7.719917143084929e-06,7.793101421473087e-06,7.805912657625993e-06,7.750173874811513e-06,7.698358172283953e-06,7.566286660244405e-06,7.809967227860632e-06,7.843027766858148e-06,8.053415895926787e-06,7.856546637696724e-06,7.459744627910528e-06,7.843932841352464e-06,7.681856556777265e-06,7.869550492146922e-06,7.65845115469969e-06,7.63566307532557e-06,7.888294840530306e-06,7.722163861295689e-06,7.758035593247712e-06
6,6.523906781884704e-06,6.608112848534421e-06,6.679228613264671e-06,6.87620409339466e-06,7.015048894503021e-06,6.977161093030556e-06,7.045880684398529e-06,7.076557662672957e-06,7.0731699685572695e-06,7.009766847455637e-06,7.113018855803826e-06,6.903668832035864e-06,7.045309809987984e-06,6.864371142275783e-06,6.9850567323696736e-06,7.030808337486914e-06,7.131133336828806e-06,7.096429340748482e-06,7.130948954177055e-06,7.200263407967903e-06,7.201437820943113e-06,7.150132419766482e-06,7.0727235637353975e-06,7.0638121086058025e-06,7.109291740125406e-06,6.9506500885244815e-06,7.000267317457657e-06,7.252669481477924e-06,7.07355502424873e-06,7.114461219425807e-06,7.369711674506105e-06,7.296519227456401e-06,7.3828378568187945e-06,7.405203780548309e-06,7.4734531235796085e-06,7.809972986489671e-06,7.754005158412752e-06,7.855970843802601e-06,7.780739416125298e-06,7.861064663186835e-06,7.918310768703424e-06,7.879836624845501e-06,7.730029494058772e-06,7.980560206761232e-06,8.248683494884523e-06,7.93294357846691e-06,7.974122617472186e-06,7.833387340321502e-06,8.035173113174762e-06,7.832858789910793e-06,7.847883514032168e-06,7.86184474928286e-06,7.945585406914179e-06,7.955628289303709e-06,7.977229865337858e-06,7.836885820614869e-06,7.752377797577444e-06,7.953709133907382e-06,7.973037878608995e-06,8.20717427153817e-06,8.021951617126777e-06,7.646077548597356e-06,8.000507434874667e-06,7.899892096083203e-06,8.035380146872736e-06,7.796697150049721e-06,7.810575795616573e-06,8.094674136321607e-06,7.940841874649188e-06,7.926201372880973e-06
7,6.483699679665378e-06,6.642946912610892e-06,6.692028733986833e-06,6.888354904953114e-06,7.034442062456058e-06,7.032293969370273e-06,7.110039560508061e-06,7.123590663989991e-06,7.1781325674757725e-06,7.13449544094527e-06,7.222961605864622e-06,7.016446907501323e-06,7.18595387034547e-06,7.026815768636919e-06,7.086182079762764e-06,7.219286939677066e-06,7.308524913954953e-06,7.2407756092225496e-06,7.3268578702795505e-06,7.449625168814539e-06,7.373986539329167e-06,7.284426733948718e-06,7.23855171401666e-06,7.231202717261238e-06,7.250324665866771e-06,7.087768237458929e-06,7.118760944455763e-06,7.405404410401038e-06,7.241674883321181e-06,7.180043453537738e-06,7.4020018220645495e-06,7.358484290475601e-06,7.437403838664903e-06,7.484349791241983e-06,7.531630543988429e-06,7.861612511716397e-06,7.741317290260877e-06,7.856800025971247e-06,7.797714539169749e-06,7.863740630738092e-06,7.918276599503224e-06,7.887035354556184e-06,7.790052124846174e-06,8.039525703856732e-06,8.261398801665862e-06,7.987081243806618e-06,8.039970140002319e-06,7.894489738756352e-06,8.139964189420418e-06,7.950516191484944e-06,7.969443617608008e-06,8.014942329426018e-06,8.078358808611377e-06,8.0955788146264e-06,8.198080084465843e-06,7.961556085823967e-06,7.918807602974336e-06,8.091133915953733e-06,8.099697096419429e-06,8.364110325994639e-06,8.188670875940184e-06,7.872119149409054e-06,8.200382338887334e-06,8.116610467173246e-06,8.297668994604643e-06,7.981832075453457e-06,8.037024278634019e-06,8.321031294039253e-06,8.191215478760049e-06,8.14909772941665e-06
8,6.4582488649219425e-06,6.70511210990202e-06,6.73907255670991e-06,6.918742396443272e-06,7.041180797706184e-06,7.084577914929331e-06,7.145522736130182e-06,7.134848444784755e-06,7.2945346329703995e-06,7.270414464278077e-06,7.316692058233928e-06,7.132902568805089e-06,7.3226235043206466e-06,7.208026333249048e-06,7.211643346859465e-06,7.40882689475367e-06,7.4894449681240085e-06,7.398490204305797e-06,7.543108996443843e-06,7.682292336017048e-06,7.547398964126407e-06,7.454429243796964e-06,7.417042637585886e-06,7.400563086708032e-06,7.396428885969171e-06,7.236564032362503e-06,7.252300643472085e-06,7.565587550111684e-06,7.4161562102058565e-06,7.269715907602713e-06,7.468788561350258e-06,7.447711474360298e-06,7.489933900200677e-06,7.561106216267398e-06,7.575584843474239e-06,7.860186194228038e-06,7.722063214020564e-06,7.830403145518817e-06,7.800845625287318e-06,7.848737441699389e-06,7.879095898800979e-06,7.872960336990531e-06,7.861602869877153e-06,8.069723450407055e-06,8.286819970417864e-06,8.062330518384351e-06,8.101442469655271e-06,7.986489316606071e-06,8.247795681640217e-06,8.087521017511892e-06,8.074159589264886e-06,8.165808149529829e-06,8.188631204332598e-06,8.210729556172106e-06,8.385128855460492e-06,8.076452703891969e-06,8.066009231699225e-06,8.2294521010626e-06,8.250358636405792e-06,8.549287824785489e-06,8.36922501215219e-06,8.140747432189419e-06,8.43637820642748e-06,8.345060529589423e-06,8.637619228176509e-06,8.227392509053804e-06,8.323988483808247e-06,8.555077798692939e-06,8.474095508991528e-06,8.428800866355254e-06
9,6.475028382822426e-06,6.791005187767038e-06,6.8184222079969065e-06,6.963367007230194e-06,7.04049854849276e-06,7.130183522262198e-06,7.1637540813929366e-06,7.1249719714030425e-06,7.3982436388157426e-06,7.38974628512904e-06,7.402239093409407e-06,7.255270434829739e-06,7.456659808864578e-06,7.400337308334401e-06,7.366559299349602e-06,7.590011708989588e-06,7.678611113128323e-06,7.586961828111942e-06,7.762567368695435e-06,7.882127635046373e-06,7.725282464819485e-06,7.655356467328505e-06,7.606636400699353e-06,7.563112721429398e-06,7.544925305085982e-06,7.3861307924812394e-06,7.408409469114992e-06,7.723671992674065e-06,7.59184556312013e-06,7.403453108453137e-06,7.575603278169366e-06,7.563511646038769e-06,7.548065502563753e-06,7.635538623082663e-06,7.615594466899718e-06,7.812237072709683e-06,7.712055886429423e-06,7.788670503461386e-06,7.803318518301732e-06,7.819915659748373e-06,7.829955777147232e-06,7.875735756653289e-06,7.952269985421131e-06,8.085847449319091e-06,8.329905447646926e-06,8.152548937365767e-06,8.168312311198653e-06,8.104039125384675e-06,8.341787520754794e-06,8.214819630687475e-06,8.170526689642872e-06,8.306316061062674e-06,8.291220309280466e-06,8.309999891339029e-06,8.547364028076105e-06,8.20957364665619e-06,8.22230063844178e-06,8.385657679669732e-06,8.449099720449902e-06,8.772425108024213e-06,8.575201437411027e-06,8.45022731049175e-06,8.691577250855974e-06,8.60849781167745e-06,9.01408074911399e-06,8.529304655556099e-06,8.668906822699016e-06,8.80626778254877e-06,8.796592039076877e-06,8.74998512424326e-06
