pixel,1134A,1139A,1144A,1149A,1154A,1159A,1164A,1169A,1174A,1179A,1184A,1189A,1194A,1199A,1204A,1209A,1214A,1219A,1224A,1229A,1234A,1239A,1244A,1249A,1254A,1259A,1264A,1269A,1274A,1295A,1300A,1305A,1310A,1315A,1320A,1325A,1330A,1335A,1340A,1345A,1350A,1355A,1360A,1365A,1370A,1375A,1380A,1385A,1390A,1395A,1400A,1405A,1410A,1415A,1420A,1425A,1430A
0,4.910494551692904e-06,4.90299265531414e-06,4.9092932079605804e-06,4.852188556965669e-06,4.924624681453399e-06,4.8228999585435886e-06,5.070814629144052e-06,5.352166607171398e-06,5.400453094496567e-06,5.433086456201979e-06,5.660408199630071e-06,5.7603268327175424e-06,5.8118930413732364e-06,5.837846366959693e-06,5.802834652705733e-06,6.150501689218869e-06,6.0803761836368755e-06,6.262572284317992e-06,6.333030129737911e-06,6.2594572502324425e-06,6.213963489083682e-06,6.0673963006625435e-06,5.9346226761340756e-06,5.814856525173705e-06,5.835017059408192e-06,5.787970497322793e-06,5.778376755240221e-06,5.831485601979887e-06,5.756041436910303e-06,5.776158942813368e-06,5.787996764004025e-06,5.822674661123977e-06,5.764441785365472e-06,5.992384506564544e-06,5.92182238407557e-06,5.917237035290237e-06,6.146877172913847e-06,6.160406526813567e-06,6.138085013277058e-06,6.290066230840259e-06,6.337188542679672e-06,6.301427862269028e-06,6.664682177454017e-06,6.5439903286230326e-06,6.366112083498951e-06,6.461653341835737e-06,6.460942014561435e-06,6.5287102545792765e-06,6.386989854008885e-06,6.450933188724679e-06,6.589292301520999e-06,6.376874152114597e-06,6.2671473562056875e-06,6.273301834117447e-06,6.268709303229391e-06,6.3204447898986234e-06,5.985955343797705e-06
1,4.947657281265097e-06,4.9981395846409575e-06,4.898286037063967e-06,4.917547132316651e-06,4.985187511011246e-06,4.926525169434647e-06,5.1102467052907145e-06,5.4012455858384175e-06,5.487545320336412e-06,5.474424149451098e-06,5.692249811975205e-06,5.776453441622715e-06,5.804524624982607e-06,5.881345560655073e-06,5.859497379774252e-06,6.12571045991275e-06,6.1350081724063125e-06,6.251981027902021e-06,6.383834485552312e-06,6.219776862595968e-06,6.240813078138324e-06,6.068759664313782e-06,5.93988244846882e-06,5.83702693906145e-06,5.874342977855731e-06,5.800890699887073e-06,5.808214137104825e-06,5.770039376125873e-06,5.6564274503524945e-06,5.765884131386368e-06,5.775496965127608e-06,5.799866943858671e-06,5.810094641574241e-06,6.012245856805831e-06,5.96411170356667e-06,5.960178820478589e-06,6.179774058655278e-06,6.298839449031978e-06,6.234907732441379e-06,6.348357590969293e-06,6.380318307563359e-06,6.44697266849832e-06,6.802398508656631e-06,6.605487705910514e-06,6.4869443078645636e-06,6.5512729069135395e-06,6.566231299557383e-06,6.633401684488165e-06,6.507204249798488e-06,6.576005741010588e-06,6.76621408590763e-06,6.498448011942383e-06,6.39922457130913e-06,6.369784290436478e-06,6.288331211064572e-06,6.3877170543170284e-06,6.067487699720061e-06
2,5.013602707855465e-06,5.090003080650103e-06,4.931120060092658e-06,5.0194936074323055e-06,5.081168397934802e-06,5.069442506426541e-06,5.1848098572457255e-06,5.458540221548572e-06,5.558162727964056e-06,5.536474498764506e-06,5.706263814810922e-06,5.776637132342372e-06,5.784425155043623e-06,5.915239761924543e-06,5.879437635311324e-06,6.064198169373719e-06,6.132423199779552e-06,6.180331954089476e-06,6.349929013061008e-06,6.178535506277702e-06,6.255885537933699e-06,6.071477482862927e-06,5.930369392163912e-06,5.855048013095994e-06,5.918775429515167e-06,5.817843433017207e-06,5.878190132183982e-06,5.79777888668445e-06,5.647458097739023e-06,5.767547850411615e-06,5.781080041511318e-06,5.800848466026151e-06,5.871431989798545e-06,6.0599564775677975e-06,6.0327775760891325e-06,6.043806754145737e-06,6.2337201210840025e-06,6.408472280634445e-06,6.326546993271643e-06,6.391269906773148e-06,6.402441833500918e-06,6.535398813103804e-06,6.887892520999172e-06,6.611257364229933e-06,6.555267678129234e-06,6.623138297605593e-06,6.66015599167667e-06,6.706850028643923e-06,6.618921404933035e-06,6.616648414722917e-06,6.8524366674244905e-06,6.561888581860712e-06,6.4711353142395136e-06,6.430968110271421e-06,6.298188466919816e-06,6.41131968106563e-06,6.122953675864832e-06
3,5.1080563018256505e-06,5.194411696171505e-06,5.0124111156885305e-06,5.157888870934579e-06,5.194996581841848e-06,5.2409985240923135e-06,5.295994813519102e-06,5.5301655769481175e-06,5.637666876644531e-06,5.619576797496459e-06,5.726428829895089e-06,5.773949536296955e-06,5.769745806271783e-06,5.938725147689628e-06,5.8704663061430625e-06,5.9874510293486176e-06,6.104152530792618e-06,6.072691426354382e-06,6.2586406524382525e-06,6.1385922339369794e-06,6.252869193337388e-06,6.0714048560403135e-06,5.9339550615702164e-06,5.883218036411096e-06,5.9751633806430874e-06,5.845091472925459e-06,5.967836121807108e-06,5.881440642279188e-06,5.7000919257940384e-06,5.797159009653264e-06,5.8064637640282185e-06,5.8287198997407185e-06,5.950210762385605e-06,6.134361094724646e-06,6.132247809866268e-06,6.150094701485291e-06,6.300176936008055e-06,6.5031032827409364e-06,6.4370864538292195e-06,6.440608680472529e-06,6.425520291717299e-06,6.61212130645483e-06,6.97255873188837e-06,6.607702897382665e-06,6.5947460731428075e-06,6.720214978346676e-06,6.770181511429537e-06,6.7550455988911635e-06,6.728179539029286e-06,6.647211405939507e-06,6.876875035297197e-06,6.595775917996227e-06,6.533618616262398e-06,6.488546500483789e-06,6.340959673541017e-06,6.449234305420496e-06,6.179108969294527e-06
4,5.2175424096335455e-06,5.307834967427634e-06,5.1399811883220596e-06,5.316931764189049e-06,5.313571854063288e-06,5.422617385389248e-06,5.4323207195010004e-06,5.613483351085099e-06,5.7132067849269825e-06,5.709349160982116e-06,5.748542526888362e-06,5.7636290756369085e-06,5.760388749684851e-06,5.934554111013132e-06,5.837147419241676e-06,5.9097324111415725e-06,6.048638442791067e-06,5.94791929255168e-06,6.12314359137746e-06,6.082004296074818e-06,6.2168155435161875e-06,6.062239492444137e-06,5.959845707524299e-06,5.9255944828782814e-06,6.037064331792494e-06,5.88386922143928e-06,6.062067613570919e-06,6.009181354115793e-06,5.815110564179372e-06,5.8729250666422655e-06,5.861855610240886e-06,5.898546132389646e-06,6.035687228876018e-06,6.2126914221878425e-06,6.239664055405966e-06,6.252277673953729e-06,6.3717046285777525e-06,6.5680693979098435e-06,6.544694103484997e-06,6.4870769752482104e-06,6.449606003819169e-06,6.67518407729873e-06,7.04194846132312e-06,6.603294281634594e-06,6.6003564014305325e-06,6.8245049702639775e-06,6.863630797533237e-06,6.762426660208064e-06,6.806761788552514e-06,6.679543809535204e-06,6.831269756155623e-06,6.5967436113034375e-06,6.5857002452995975e-06,6.532214073745367e-06,6.407427729598598e-06,6.5147371628201816e-06,6.24391167735564e-06
5,5.331446575722573e-06,5.427176741379858e-06,5.291029951014924e-06,5.483645357252063e-06,5.441666837828312e-06,5.602475184323132e-06,5.5829938239144185e-06,5.7063998786782175e-06,5.7711781527580355e-06,5.788947211948573e-06,5.764647084000015e-06,5.751309061183845e-06,5.750296670632174e-06,5.906851952266487e-06,5.798725554467725e-06,5.840465946523539e-06,5.972468430863967e-06,5.8310530485722765e-06,5.9721772752117405e-06,5.9921186237243615e-06,6.1482481669669375e-06,6.040697830103517e-06,6.002330120063812e-06,5.977936377193879e-06,6.0972925924722804e-06,5.932681987745492e-06,6.141377851173516e-06,6.1450607555638485e-06,5.960420378396673e-06,5.992770970210942e-06,5.949432451057609e-06,6.01318948592347e-06,6.125722411175757e-06,6.274442118798935e-06,6.331060609176629e-06,6.338880059408136e-06,6.447013261620259e-06,6.613825471021673e-06,6.625999967636333e-06,6.532793225861223e-06,6.481061734595595e-06,6.730610718108647e-06,7.093108867690185e-06,6.615030590914922e-06,6.5948232026153e-06,6.911368417746976e-06,6.914619826084461e-06,6.741133329449491e-06,6.846849061080749e-06,6.708268234420508e-06,6.742723591816667e-06,6.579977163921778e-06,6.634043397232644e-06,6.564520709613878e-06,6.487975688271272e-06,6.61334406542157e-06,6.3348768268929156e-06
6,5.442136566343013e-06,5.5387379560288026e-06,5.4393141179259815e-06,5.649939250535023e-06,5.581367263010167e-06,5.766906786913213e-06,5.7344611607911335e-06,5.8012033672358145e-06,5.804955397663383e-06,5.846669151004468e-06,5.771831147173536e-06,5.744078675862935e-06,5.746200157494073e-06,5.8729126675608675e-06,5.769265194891933e-06,5.7809290124669724e-06,5.888441068205727e-06,5.734973939149708e-06,5.829511779622945e-06,5.880785830062753e-06,6.058940139922463e-06,6.009404461759379e-06,6.0398325218998885e-06,6.023851157455626e-06,6.1409252792228635e-06,5.988754218077805e-06,6.191974855297958e-06,6.263092356716933e-06,6.111928563114049e-06,6.146851930078281e-06,6.07194844219702e-06,6.171914686884637e-06,6.230074397374291e-06,6.3302819431460035e-06,6.40128081681161e-06,6.4203106880131985e-06,6.528059819174383e-06,6.655590448748996e-06,6.670227556834588e-06,6.588334810518453e-06,6.518082818336494e-06,6.774459483199293e-06,7.1231941096276035e-06,6.650663759946568e-06,6.5921404421919604e-06,6.9537464385640275e-06,6.919657240647032e-06,6.712419426792446e-06,6.8450607753396064e-06,6.714571418002183e-06,6.638067094854776e-06,6.558052698339734e-06,6.683587334302086e-06,6.591636073355065e-06,6.5764622228825635e-06,6.72873169620673e-06,6.459353920457926e-06
7,5.538867785566982e-06,5.630610852993503e-06,5.5710222812260514e-06,5.805001621911369e-06,5.723003959417225e-06,5.907930389306533e-06,5.8738041794632995e-06,5.8901533857964275e-06,5.822945391536429e-06,5.874124902010746e-06,5.775116158580972e-06,5.743488725125412e-06,5.766813357918045e-06,5.85453105457471e-06,5.760839400546521e-06,5.732026157020682e-06,5.821073910889007e-06,5.660457661708443e-06,5.712444719845356e-06,5.780444350326194e-06,5.969059083658835e-06,5.976241653252978e-06,6.055313177702515e-06,6.042366178957472e-06,6.1562088303501275e-06,6.051687577754167e-06,6.221655725581604e-06,6.3617206412026825e-06,6.264447226023473e-06,6.32720452821184e-06,6.231838681490651e-06,6.369723002153286e-06,6.3642723659694426e-06,6.404439126040263e-06,6.462802316151741e-06,6.5138356380363836e-06,6.6184397128425726e-06,6.709253470161773e-06,6.695608574215584e-06,6.658917837558989e-06,6.5561305731443866e-06,6.801459845337963e-06,7.1353245857559556e-06,6.7029388857492525e-06,6.594977795744875e-06,6.945188475282756e-06,6.904306720262528e-06,6.695533507902024e-06,6.805139182820303e-06,6.695771884433494e-06,6.543074924264733e-06,6.545539656923991e-06,6.738558860224252e-06,6.624155655686297e-06,6.6721634236578086e-06,6.8342801201107324e-06,6.612634925669956e-06
8,5.611070623779754e-06,5.702860832468892e-06,5.6892381729314725e-06,5.925212548255782e-06,5.853127649762083e-06,6.0220253568032636e-06,5.99777306252977e-06,5.9726095008410795e-06,5.835061274937805e-06,5.868808612344884e-06,5.777118550212434e-06,5.7511670872137215e-06,5.819043986254968e-06,5.870425573973743e-06,5.781578600873226e-06,5.701250758597987e-06,5.792282616865825e-06,5.6066773663993145e-06,5.629867264957367e-06,5.718469615248224e-06,5.899840995833139e-06,5.9478522489463135e-06,6.047231802217996e-06,6.028009903889763e-06,6.144284775084232e-06,6.118770813565194e-06,6.2531822636601015e-06,6.454676717936233e-06,6.421195857887203e-06,6.5215710588667995e-06,6.423826728412694e-06,6.590814417258075e-06,6.529915924647216e-06,6.509030128757378e-06,6.532739370370867e-06,6.628267282088161e-06,6.713792154292518e-06,6.781692194932846e-06,6.729710185824289e-06,6.737281466939609e-06,6.596239123688222e-06,6.812762174119167e-06,7.128737384760099e-06,6.7562989998150256e-06,6.6024265778888804e-06,6.9030050005376255e-06,6.893693109320337e-06,6.69468352637784e-06,6.74473438248559e-06,6.660852776691683e-06,6.480113814676887e-06,6.559178676258727e-06,6.795008957557061e-06,6.674967248443358e-06,6.7797730469482785e-06,6.914118143730995e-06,6.780558693556962e-06
9,5.655856902899929e-06,5.764963975897737e-06,5.798944598062185e-06,5.991619883449363e-06,5.9613525182526845e-06,6.104318126066073e-06,6.109762778499549e-06,6.0507322526339305e-06,5.844914887787854e-06,5.845533392243403e-06,5.781472507267137e-06,5.77082023975361e-06,5.889257333423829e-06,5.927279439742977e-06,5.827003558344071e-06,5.698715606834397e-06,5.808099516093624e-06,5.5875036454378346e-06,5.58876122525494e-06,5.708570255291431e-06,5.863050577259722e-06,5.929576375879165e-06,6.026006459173489e-06,6.002918366088842e-06,6.120995112750233e-06,6.185706862058642e-06,6.3041179620578245e-06,6.549144472125448e-06,6.5804283416204075e-06,6.7140577153072475e-06,6.634211776474871e-06,6.815838858349563e-06,6.710247242109567e-06,6.64387033808066e-06,6.622536837915488e-06,6.759505717486944e-06,6.805584331231191e-06,6.868477472831652e-06,6.786224056915797e-06,6.8123207220860115e-06,6.639767505090193e-06,6.815950338243985e-06,7.100242053473877e-06,6.798117433164051e-06,6.614294108015296e-06,6.852444509494298e-06,6.889962863820131e-06,6.7013684975387565e-06,6.689479426153141e-06,6.629812134989192e-06,6.464569930726114e-06,6.606337166691364e-06,6.850385885224331e-06,6.753835583424395e-06,6.8970480131403125e-06,6.978537782012643e-06,6.947879050884241e-06
